"","combo","main_element","secondary_element","bio","abio"
"1","C_N","C","N",7.75193798449612,74.9
"2","C_Si","C","Si",7.75193798449612,22.5376128385155
"3","C_K","C","K",72.992700729927,0.220186183243508
"4","C_S","C","S",95.2380952380952,0.0802213495180293
"5","C_P","C","P",123.915737298637,1123.5
"6","C_Mg","C","Mg",221.238938053097,0.0426667173021419
"7","C_Ca","C","Ca",248.138957816377,0.218601031228719
"8","C_Fe","C","Fe",16528.9256198347,4184357.54189944
"9","C_Sr","C","Sr",24813.8957816377,25.247191011236
"10","C_Mn","C","Mn",44247.7876106195,6173076.92307692
"11","C_Ni","C","Ni",124069.478908189,275030.599755202
"12","C_Zn","C","Zn",155038.759689922,420000
"13","C_Cu","C","Cu",326797.385620915,952118.644067797
"14","C_Cd","C","Cd",591715.976331361,3606741.57303371
"15","C_Co","C","Co",653594.77124183,110147058.823529
"16","C_Mo","C","Mo",4132231.40495868,21605.7692307692
"17","N_Si","N","Si",1,0.300902708124373
"18","N_K","N","K",9.41605839416058,0.00293973542381186
"19","N_S","N","S",12.2857142857143,0.00107104605498036
"20","N_P","N","P",15.9851301115242,15
"21","N_Mg","N","Mg",28.5398230088496,0.000569649096156767
"22","N_Ca","N","Ca",32.0099255583127,0.00291857184551026
"23","N_Fe","N","Fe",2132.23140495868,55865.9217877095
"24","N_Sr","N","Sr",3200.99255583127,0.337078651685393
"25","N_Mn","N","Mn",5707.96460176991,82417.5824175824
"26","N_Ni","N","Ni",16004.9627791563,3671.97062423501
"27","N_Zn","N","Zn",20000,5607.47663551402
"28","N_Cu","N","Cu",42156.862745098,12711.8644067797
"29","N_Cd","N","Cd",76331.3609467456,48154.0930979133
"30","N_Co","N","Co",84313.7254901961,1470588.23529412
"31","N_Mo","N","Mo",533057.851239669,288.461538461538
"32","Si_K","Si","K",9.41605839416058,0.00976972072513474
"33","Si_S","Si","S",12.2857142857143,0.00355944305605141
"34","Si_P","Si","P",15.9851301115242,49.85
"35","Si_Mg","Si","Mg",28.5398230088496,0.00189313382956099
"36","Si_Ca","Si","Ca",32.0099255583127,0.00969938709991244
"37","Si_Fe","Si","Fe",2132.23140495868,185661.080074488
"38","Si_Sr","Si","Sr",3200.99255583127,1.12022471910112
"39","Si_Mn","Si","Mn",5707.96460176991,273901.098901099
"40","Si_Ni","Si","Ni",16004.9627791563,12203.182374541
"41","Si_Zn","Si","Zn",20000,18635.5140186916
"42","Si_Cu","Si","Cu",42156.862745098,42245.7627118644
"43","Si_Cd","Si","Cd",76331.3609467456,160032.102728732
"44","Si_Co","Si","Co",84313.7254901961,4887254.90196078
"45","Si_Mo","Si","Mo",533057.851239669,958.653846153846
"46","K_S","K","S",1.3047619047619,0.364334166369154
"47","K_P","K","P",1.69764560099133,5102.5
"48","K_Mg","K","Mg",3.03097345132743,0.193775634209327
"49","K_Ca","K","Ca",3.39950372208437,0.992800856114408
"50","K_Fe","K","Fe",226.446280991736,19003724.3947858
"51","K_Sr","K","Sr",339.950372208437,114.662921348315
"52","K_Mn","K","Mn",606.194690265487,28035714.2857143
"53","K_Ni","K","Ni",1699.75186104218,1249082.00734394
"54","K_Zn","K","Zn",2124.03100775194,1907476.63551402
"55","K_Cu","K","Cu",4477.12418300654,4324152.54237288
"56","K_Cd","K","Cd",8106.50887573965,16380417.3354735
"57","K_Co","K","Co",8954.24836601307,500245098.039216
"58","K_Mo","K","Mo",56611.5702479339,98125
"59","S_P","S","P",1.30111524163569,14005
"60","S_Mg","S","Mg",2.32300884955752,0.531862372778369
"61","S_Ca","S","Ca",2.60545905707196,2.72497324642475
"62","S_Fe","S","Fe",173.553719008264,52160148.9757914
"63","S_Sr","S","Sr",260.545905707196,314.719101123596
"64","S_Mn","S","Mn",464.601769911504,76950549.4505495
"65","S_Ni","S","Ni",1302.72952853598,3428396.57282742
"66","S_Zn","S","Zn",1627.90697674419,5235514.01869159
"67","S_Cu","S","Cu",3431.37254901961,11868644.0677966
"68","S_Cd","S","Cd",6213.01775147929,44959871.5890851
"69","S_Co","S","Co",6862.74509803922,1373039215.68627
"70","S_Mo","S","Mo",43388.4297520661,269326.923076923
"71","P_Mg","P","Mg",1.7853982300885,3.79766064104512e-05
"72","P_Ca","P","Ca",2.00248138957816,0.000194571456367351
"73","P_Fe","P","Fe",133.388429752066,3724.3947858473
"74","P_Sr","P","Sr",200.248138957816,0.0224719101123595
"75","P_Mn","P","Mn",357.079646017699,5494.50549450549
"76","P_Ni","P","Ni",1001.24069478908,244.798041615667
"77","P_Zn","P","Zn",1251.16279069767,373.831775700935
"78","P_Cu","P","Cu",2637.25490196078,847.457627118644
"79","P_Cd","P","Cd",4775.14792899408,3210.27287319422
"80","P_Co","P","Co",5274.50980392157,98039.2156862745
"81","P_Mo","P","Mo",33347.1074380165,19.2307692307692
"82","Mg_Ca","Mg","Ca",1.12158808933002,5.12345558906508
"83","Mg_Fe","Mg","Fe",74.7107438016529,98070763.5009311
"84","Mg_Sr","Mg","Sr",112.158808933002,591.730337078652
"85","Mg_Mn","Mg","Mn",200,144681318.681319
"86","Mg_Ni","Mg","Ni",560.794044665012,6446022.03182374
"87","Mg_Zn","Mg","Zn",700.77519379845,9843738.31775701
"88","Mg_Cu","Mg","Cu",1477.12418300654,22315254.2372881
"89","Mg_Cd","Mg","Cd",2674.55621301775,84532905.2969503
"90","Mg_Co","Mg","Co",2954.24836601307,2581568627.45098
"91","Mg_Mo","Mg","Mo",18677.6859504132,506384.615384615
"92","Ca_Fe","Ca","Fe",66.6115702479339,19141527.0018622
"93","Ca_Sr","Ca","Sr",100,115.494382022472
"94","Ca_Mn","Ca","Mn",178.318584070796,28239010.989011
"95","Ca_Ni","Ca","Ni",500,1258139.53488372
"96","Ca_Zn","Ca","Zn",624.806201550388,1921308.41121495
"97","Ca_Cu","Ca","Cu",1316.99346405229,4355508.47457627
"98","Ca_Cd","Ca","Cd",2384.61538461538,16499197.4317817
"99","Ca_Co","Ca","Co",2633.98692810457,503872549.019608
"100","Ca_Mo","Ca","Mo",16652.8925619835,98836.5384615385
"101","Fe_Sr","Fe","Sr",1.50124069478908,6.03370786516854e-06
"102","Fe_Mn","Fe","Mn",2.67699115044248,1.47527472527473
"103","Fe_Ni","Fe","Ni",7.50620347394541,0.0657282741738066
"104","Fe_Zn","Fe","Zn",9.37984496124031,0.100373831775701
"105","Fe_Cu","Fe","Cu",19.7712418300654,0.227542372881356
"106","Fe_Cd","Fe","Cd",35.7988165680473,0.861958266452649
"107","Fe_Co","Fe","Co",39.5424836601307,26.3235294117647
"108","Fe_Mo","Fe","Mo",250,0.00516346153846154
"109","Sr_Mn","Sr","Mn",1.78318584070796,244505.494505494
"110","Sr_Ni","Sr","Ni",5,10893.5128518972
"111","Sr_Zn","Sr","Zn",6.24806201550388,16635.5140186916
"112","Sr_Cu","Sr","Cu",13.1699346405229,37711.8644067797
"113","Sr_Cd","Sr","Cd",23.8461538461538,142857.142857143
"114","Sr_Co","Sr","Co",26.3398692810458,4362745.09803922
"115","Sr_Mo","Sr","Mo",166.528925619835,855.769230769231
"116","Mn_Ni","Mn","Ni",2.80397022332506,0.0445532435740514
"117","Mn_Zn","Mn","Zn",3.50387596899225,0.0680373831775701
"118","Mn_Cu","Mn","Cu",7.38562091503268,0.154237288135593
"119","Mn_Cd","Mn","Cd",13.3727810650888,0.584269662921348
"120","Mn_Co","Mn","Co",14.7712418300654,17.843137254902
"121","Mn_Mo","Mn","Mo",93.3884297520661,0.0035
"122","Ni_Zn","Ni","Zn",1.24961240310078,1.52710280373832
"123","Ni_Cu","Ni","Cu",2.63398692810458,3.46186440677966
"124","Ni_Cd","Ni","Cd",4.76923076923077,13.1139646869984
"125","Ni_Co","Ni","Co",5.26797385620915,400.490196078431
"126","Ni_Mo","Ni","Mo",33.3057851239669,0.0785576923076923
"127","Zn_Cu","Zn","Cu",2.1078431372549,2.26694915254237
"128","Zn_Cd","Zn","Cd",3.81656804733728,8.58747993579454
"129","Zn_Co","Zn","Co",4.2156862745098,262.254901960784
"130","Zn_Mo","Zn","Mo",26.6528925619835,0.0514423076923077
"131","Cu_Cd","Cu","Cd",1.81065088757396,3.78812199036918
"132","Cu_Co","Cu","Co",2,115.686274509804
"133","Cu_Mo","Cu","Mo",12.6446280991736,0.0226923076923077
"134","Cd_Co","Cd","Co",1.10457516339869,30.5392156862745
"135","Cd_Mo","Cd","Mo",6.98347107438016,0.00599038461538462
"136","Co_Mo","Co","Mo",6.32231404958678,0.000196153846153846
